id,text,aspect,aspect_term,sentiment
1,Battery life is excellent,battery,battery,positive
2,Performance is laggy,performance,performance,negative
3,Price is too high,price,price,negative
4,Design feels cheap,design,design,negative
5,Performance is smooth,performance,performance,positive
6,Battery drains quickly,battery,battery,positive
7,The food was delicious,food,food,positive
8,The service was slow,service,service,negative
9,Design feels cheap,design,design,negative
10,Delivery was fast,delivery,delivery,positive
11,Delivery was late,delivery,delivery,negative
12,The service was quick,service,service,positive
13,Battery drains quickly,battery,battery,positive
14,Price is reasonable,price,price,positive
15,Camera quality is great,camera,camera,positive
16,Camera quality is great,camera,camera,positive
17,Delivery was late,delivery,delivery,negative
18,Design feels cheap,design,design,negative
19,Design looks premium,design,design,positive
20,Performance is smooth,performance,performance,positive
21,The food was delicious,food,food,positive
22,Design feels cheap,design,design,negative
23,Price is reasonable,price,price,positive
24,The service was quick,service,service,positive
25,Battery life is excellent,battery,battery,positive
26,The food was delicious,food,food,positive
27,Camera is disappointing,camera,camera,negative
28,Delivery was late,delivery,delivery,negative
29,The service was slow,service,service,negative
30,Performance is laggy,performance,performance,negative
31,The food was terrible,food,food,negative
32,Design feels cheap,design,design,negative
33,Camera quality is great,camera,camera,positive
34,Price is too high,price,price,negative
35,The service was quick,service,service,positive
36,Design looks premium,design,design,positive
37,Price is reasonable,price,price,positive
38,The food was delicious,food,food,positive
39,The service was slow,service,service,negative
40,Camera is disappointing,camera,camera,negative
41,Delivery was late,delivery,delivery,negative
42,Battery drains quickly,battery,battery,positive
43,Price is too high,price,price,negative
44,The service was quick,service,service,positive
45,Performance is smooth,performance,performance,positive
46,Camera is disappointing,camera,camera,negative
47,Delivery was late,delivery,delivery,negative
48,Camera is disappointing,camera,camera,negative
49,The service was quick,service,service,positive
50,The service was slow,service,service,negative
51,Performance is smooth,performance,performance,positive
52,Design feels cheap,design,design,negative
53,Battery drains quickly,battery,battery,positive
54,Camera quality is great,camera,camera,positive
55,Performance is smooth,performance,performance,positive
56,The service was slow,service,service,negative
57,Performance is smooth,performance,performance,positive
58,The service was slow,service,service,negative
59,Battery drains quickly,battery,battery,positive
60,Battery drains quickly,battery,battery,positive
61,Design looks premium,design,design,positive
62,Delivery was late,delivery,delivery,negative
63,The food was terrible,food,food,negative
64,The service was quick,service,service,positive
65,Performance is laggy,performance,performance,negative
66,The food was delicious,food,food,positive
67,The food was delicious,food,food,positive
68,Price is reasonable,price,price,positive
69,Price is too high,price,price,negative
70,Delivery was fast,delivery,delivery,positive
71,Delivery was fast,delivery,delivery,positive
72,Design looks premium,design,design,positive
73,The service was slow,service,service,negative
74,Design looks premium,design,design,positive
75,Price is too high,price,price,negative
76,Battery drains quickly,battery,battery,positive
77,Design feels cheap,design,design,negative
78,The service was quick,service,service,positive
79,The food was delicious,food,food,positive
80,Camera is disappointing,camera,camera,negative
81,Camera is disappointing,camera,camera,negative
82,Price is reasonable,price,price,positive
83,Camera is disappointing,camera,camera,negative
84,Battery drains quickly,battery,battery,positive
85,Performance is smooth,performance,performance,positive
86,Performance is smooth,performance,performance,positive
87,Design feels cheap,design,design,negative
88,Design looks premium,design,design,positive
89,Price is reasonable,price,price,positive
90,The service was quick,service,service,positive
91,Design feels cheap,design,design,negative
92,Battery drains quickly,battery,battery,positive
93,Performance is laggy,performance,performance,negative
94,Delivery was late,delivery,delivery,negative
95,The service was quick,service,service,positive
96,Battery life is excellent,battery,battery,positive
97,Design looks premium,design,design,positive
98,Delivery was fast,delivery,delivery,positive
99,Battery life is excellent,battery,battery,positive
100,The service was quick,service,service,positive
101,Delivery was late,delivery,delivery,negative
102,Battery life is excellent,battery,battery,positive
103,Battery life is excellent,battery,battery,positive
104,Delivery was late,delivery,delivery,negative
105,Delivery was late,delivery,delivery,negative
106,The service was quick,service,service,positive
107,The service was slow,service,service,negative
108,Price is reasonable,price,price,positive
109,Camera is disappointing,camera,camera,negative
110,Performance is laggy,performance,performance,negative
111,The food was terrible,food,food,negative
112,The service was slow,service,service,negative
113,Design feels cheap,design,design,negative
114,Camera is disappointing,camera,camera,negative
115,The service was quick,service,service,positive
116,Battery life is excellent,battery,battery,positive
117,Price is too high,price,price,negative
118,Delivery was late,delivery,delivery,negative
119,Battery life is excellent,battery,battery,positive
120,The service was slow,service,service,negative
121,Performance is smooth,performance,performance,positive
122,Price is reasonable,price,price,positive
123,The food was delicious,food,food,positive
124,Performance is smooth,performance,performance,positive
125,Battery drains quickly,battery,battery,positive
126,Design looks premium,design,design,positive
127,Price is too high,price,price,negative
128,Battery drains quickly,battery,battery,positive
129,Price is reasonable,price,price,positive
130,Battery life is excellent,battery,battery,positive
131,Camera quality is great,camera,camera,positive
132,Design feels cheap,design,design,negative
133,The food was terrible,food,food,negative
134,The food was terrible,food,food,negative
135,Design looks premium,design,design,positive
136,The service was quick,service,service,positive
137,Design feels cheap,design,design,negative
138,Design feels cheap,design,design,negative
139,Performance is smooth,performance,performance,positive
140,The service was quick,service,service,positive
141,Performance is smooth,performance,performance,positive
142,Price is too high,price,price,negative
143,Camera is disappointing,camera,camera,negative
144,Battery drains quickly,battery,battery,positive
145,Price is reasonable,price,price,positive
146,The service was slow,service,service,negative
147,Performance is laggy,performance,performance,negative
148,Delivery was fast,delivery,delivery,positive
149,Price is too high,price,price,negative
150,Performance is laggy,performance,performance,negative
151,Price is too high,price,price,negative
152,Design feels cheap,design,design,negative
153,Performance is laggy,performance,performance,negative
154,Performance is smooth,performance,performance,positive
155,Price is reasonable,price,price,positive
156,Delivery was fast,delivery,delivery,positive
157,The food was terrible,food,food,negative
158,Design feels cheap,design,design,negative
159,Camera quality is great,camera,camera,positive
160,Delivery was fast,delivery,delivery,positive
161,Battery drains quickly,battery,battery,positive
162,The service was slow,service,service,negative
163,Delivery was fast,delivery,delivery,positive
164,Design looks premium,design,design,positive
165,The food was terrible,food,food,negative
166,Camera quality is great,camera,camera,positive
167,Battery drains quickly,battery,battery,positive
168,The food was terrible,food,food,negative
169,The food was terrible,food,food,negative
170,Performance is laggy,performance,performance,negative
171,The service was slow,service,service,negative
172,Performance is laggy,performance,performance,negative
173,Performance is laggy,performance,performance,negative
174,Design feels cheap,design,design,negative
175,Battery drains quickly,battery,battery,positive
176,The food was terrible,food,food,negative
177,The service was quick,service,service,positive
178,The service was slow,service,service,negative
179,Price is reasonable,price,price,positive
180,Delivery was late,delivery,delivery,negative
181,Design looks premium,design,design,positive
182,The service was slow,service,service,negative
183,The service was quick,service,service,positive
184,The service was quick,service,service,positive
185,The service was quick,service,service,positive
186,Performance is smooth,performance,performance,positive
187,The food was terrible,food,food,negative
188,Battery drains quickly,battery,battery,positive
189,Battery drains quickly,battery,battery,positive
190,Price is reasonable,price,price,positive
191,Battery drains quickly,battery,battery,positive
192,Design looks premium,design,design,positive
193,Delivery was fast,delivery,delivery,positive
194,The food was terrible,food,food,negative
195,Camera is disappointing,camera,camera,negative
196,Design looks premium,design,design,positive
197,Price is too high,price,price,negative
198,Design looks premium,design,design,positive
199,Price is too high,price,price,negative
200,Delivery was late,delivery,delivery,negative
201,Design feels cheap,design,design,negative
202,Price is too high,price,price,negative
203,Battery life is excellent,battery,battery,positive
204,Battery drains quickly,battery,battery,positive
205,The service was slow,service,service,negative
206,Delivery was fast,delivery,delivery,positive
207,Performance is smooth,performance,performance,positive
208,The food was terrible,food,food,negative
209,Performance is smooth,performance,performance,positive
210,The service was quick,service,service,positive
211,Price is reasonable,price,price,positive
212,Design looks premium,design,design,positive
213,The food was delicious,food,food,positive
214,Delivery was late,delivery,delivery,negative
215,The food was delicious,food,food,positive
216,Design looks premium,design,design,positive
217,Battery drains quickly,battery,battery,positive
218,Camera quality is great,camera,camera,positive
219,Design looks premium,design,design,positive
220,Camera is disappointing,camera,camera,negative
221,Price is too high,price,price,negative
222,Battery drains quickly,battery,battery,positive
223,Camera quality is great,camera,camera,positive
224,Camera is disappointing,camera,camera,negative
225,Performance is laggy,performance,performance,negative
226,Battery life is excellent,battery,battery,positive
227,The service was quick,service,service,positive
228,The food was delicious,food,food,positive
229,Design feels cheap,design,design,negative
230,The service was slow,service,service,negative
231,Camera quality is great,camera,camera,positive
232,Design feels cheap,design,design,negative
233,Camera is disappointing,camera,camera,negative
234,Price is too high,price,price,negative
235,The service was quick,service,service,positive
236,Performance is laggy,performance,performance,negative
237,The service was slow,service,service,negative
238,Battery life is excellent,battery,battery,positive
239,The service was quick,service,service,positive
240,The service was slow,service,service,negative
241,The food was terrible,food,food,negative
242,Design looks premium,design,design,positive
243,The food was terrible,food,food,negative
244,Price is too high,price,price,negative
245,The food was terrible,food,food,negative
246,Camera is disappointing,camera,camera,negative
247,Delivery was fast,delivery,delivery,positive
248,Battery life is excellent,battery,battery,positive
249,Battery drains quickly,battery,battery,positive
250,Design looks premium,design,design,positive
251,Performance is laggy,performance,performance,negative
252,Design looks premium,design,design,positive
253,Battery life is excellent,battery,battery,positive
254,The service was quick,service,service,positive
255,Performance is smooth,performance,performance,positive
256,Design looks premium,design,design,positive
257,The food was delicious,food,food,positive
258,Battery drains quickly,battery,battery,positive
259,Design looks premium,design,design,positive
260,Delivery was late,delivery,delivery,negative
261,Design looks premium,design,design,positive
262,The service was quick,service,service,positive
263,Performance is laggy,performance,performance,negative
264,Performance is smooth,performance,performance,positive
265,Design looks premium,design,design,positive
266,Delivery was late,delivery,delivery,negative
267,Performance is smooth,performance,performance,positive
268,Delivery was late,delivery,delivery,negative
269,Design feels cheap,design,design,negative
270,The service was quick,service,service,positive
271,Performance is laggy,performance,performance,negative
272,Camera quality is great,camera,camera,positive
273,Price is too high,price,price,negative
274,The food was delicious,food,food,positive
275,Design looks premium,design,design,positive
276,The service was quick,service,service,positive
277,Price is reasonable,price,price,positive
278,Battery drains quickly,battery,battery,positive
279,Performance is smooth,performance,performance,positive
280,Design looks premium,design,design,positive
281,Design feels cheap,design,design,negative
282,Delivery was late,delivery,delivery,negative
283,Design looks premium,design,design,positive
284,Performance is smooth,performance,performance,positive
285,Price is too high,price,price,negative
286,Camera quality is great,camera,camera,positive
287,Design feels cheap,design,design,negative
288,Price is too high,price,price,negative
289,Delivery was late,delivery,delivery,negative
290,Performance is laggy,performance,performance,negative
291,Price is too high,price,price,negative
292,Design looks premium,design,design,positive
293,The service was quick,service,service,positive
294,Performance is smooth,performance,performance,positive
295,Delivery was late,delivery,delivery,negative
296,Camera is disappointing,camera,camera,negative
297,Design feels cheap,design,design,negative
298,Price is too high,price,price,negative
299,Delivery was fast,delivery,delivery,positive
300,The food was delicious,food,food,positive
301,Performance is smooth,performance,performance,positive
302,The food was terrible,food,food,negative
303,Performance is smooth,performance,performance,positive
304,Design looks premium,design,design,positive
305,Design feels cheap,design,design,negative
306,Delivery was fast,delivery,delivery,positive
307,The food was delicious,food,food,positive
308,Camera quality is great,camera,camera,positive
309,Battery life is excellent,battery,battery,positive
310,Battery life is excellent,battery,battery,positive
311,Battery drains quickly,battery,battery,positive
312,Design looks premium,design,design,positive
313,Performance is laggy,performance,performance,negative
314,The service was quick,service,service,positive
315,Price is too high,price,price,negative
316,Camera quality is great,camera,camera,positive
317,Price is too high,price,price,negative
318,Performance is laggy,performance,performance,negative
319,Performance is smooth,performance,performance,positive
320,Battery drains quickly,battery,battery,positive
321,Price is reasonable,price,price,positive
322,Battery life is excellent,battery,battery,positive
323,Camera quality is great,camera,camera,positive
324,The food was terrible,food,food,negative
325,Performance is smooth,performance,performance,positive
326,The food was delicious,food,food,positive
327,Design looks premium,design,design,positive
328,Performance is smooth,performance,performance,positive
329,The food was delicious,food,food,positive
330,Design looks premium,design,design,positive
331,Design feels cheap,design,design,negative
332,Camera quality is great,camera,camera,positive
333,The food was terrible,food,food,negative
334,Delivery was fast,delivery,delivery,positive
335,Performance is laggy,performance,performance,negative
